번호,우선순위,구분,고려사항,핵심 질문,사용자 필수 결정,추천 방안,결정 시점
14,P2,보안,보안/개인정보 기준,학생 생활 패턴 등 민감 정보를 어디까지 저장하는가?,예,MVP는 최소 정보만 저장하고 위치/휴대폰 사용시간/민감 로그는 수집하지 않는다.,운영 전
15,P1,설정,운영 중 변경 가능성,하드코딩하면 안 되는 값은 무엇인가?,부분,"과목명, 가족 리듬, 알림 시간, 미션 분류는 데이터화하고 화면 문구 일부는 copy 파일로 분리한다.",구현 중
16,P3,성능,성능과 확장성,계획 데이터가 많아져도 괜찮은가?,아니오,초기에는 단순 조회로 가되 계획 생성 로직은 service/domain으로 분리해 서버 계산으로 옮길 수 있게 한다.,구현 중
17,P0,연동,외부 서비스 연동 기준,Supabase/Vercel/푸시/캘린더 중 무엇을 언제 붙일까?,부분,"지금은 Vercel+Supabase test DB, 푸시/캘린더는 정책 확정 뒤 붙인다.",착수 전
18,P1,분석,로그/분석 기준,어떤 사용자 행동을 기록할 것인가?,부분,"study_started, study_paused, study_completed, plan_adjusted 정도만 MVP 이벤트로 정의한다.",구현 중
19,P1,복구,되돌리기/수정 흐름,잘못 완료/조정했을 때 복구 가능한가?,예,완료 직후 되돌리기 또는 오늘 화면에서 상태 수정 흐름을 제공할지 결정한다.,구현 전
20,P3,기술부채,기술 부채 기록 방식,임시 구현을 어디에 남길 것인가?,아니오,20번 문제 문서와 90번 작업 기억에 임시 asset/mock/hardcoding을 기록한다.,항상
21,P1,라우팅,라우팅 구조,URL 체계가 화면 이름과 맞는가?,부분,"생활 장면 이름을 우선해 /student, /student/week, /student/closing, /parent/reassurance처럼 단순하게 유지한다.",구현 전
22,P1,내비게이션,내비게이션 정책,뒤로가기/완료 후 이동은 어떻게 할까?,예,"완료 후 오늘 화면으로 돌아오고, 설정/조정은 깊이 있는 보조 흐름으로 둔다.",구현 전
23,P1,모바일,모바일 앱 전환 대비,웹 전용 의존성을 줄였는가?,부분,domain/service/types는 프레임워크 의존 없이 유지하고 UI만 Next.js에 둔다.,구현 중
24,P3,PWA,PWA 적용 범위,홈 화면 추가/오프라인/푸시를 지금 할까?,예,MVP에서는 PWA manifest 정도만 검토하고 오프라인/푸시는 후순위로 둔다.,MVP 후
25,P0,시간,시간대와 날짜 기준,하루 기준과 날짜 변경 처리는?,예,"한국 시간 기준, 하루 마감은 취침 전까지를 우선. 자정 경계 정책은 별도 정의한다.",착수 전
26,P1,일정,반복 일정 처리,매주/매일 반복을 어떻게 표현할까?,부분,요일 반복 rule을 데이터 모델에 두고 화면에는 오늘 영향만 압축 표시한다.,구현 전
27,P3,일정,예외 일정 처리,공휴일/시험 당일/학원 쉬는 날은?,부분,MVP는 수동 예외 입력을 우선하고 공휴일 자동 연동은 후순위로 둔다.,MVP 후
28,P0,계획,계획 자동 조정 규칙,시간 부족 시 무엇을 줄일까?,예,"필수는 유지, 추가/남으면부터 이동. 필수도 불가능하면 부모/학생에게 줄이기 제안.",착수 전
29,P0,계획,우선순위 충돌 규칙,시험/루틴/부모 일정이 겹치면?,예,시험 임박 필수 미션 > 부모 고정 일정 > 평시 루틴 > 남으면 순으로 우선순위를 둔다.,착수 전
30,P1,알림,알림 취소/중복 방지,이미 시작/완료한 알림이 또 가는가?,아니오,미션 상태 변경 시 예약 알림을 취소하거나 무시하는 idempotent 정책을 둔다.,구현 중
31,P2,알림,알림 실패 처리,푸시 실패나 권한 거부는?,부분,초기에는 앱 내 안내로 fallback하고 부모/학생 푸시 실패 상세 처리는 후순위.,MVP 후
32,P2,동기화,다중 기기 사용,여러 기기에서 동시에 열면?,부분,DB updated_at 기준 최신 상태를 우선하고 실시간 동기화는 후순위로 둔다.,MVP 후
33,P2,동기화,동시 수정 충돌,부모 조정과 학생 완료가 동시에 일어나면?,부분,서버 상태 전이 규칙을 우선하고 충돌 시 사용자에게 최신 상태 안내.,MVP 후
34,P2,로그,감사 로그,누가 언제 바꿨는지 추적되는가?,부분,계획 조정/완료/이동은 최소 audit log를 남긴다. 운영 전에는 필수.,운영 전
35,P2,데이터,데이터 보존 정책,완료 기록과 탈퇴 데이터는 얼마나 보관?,예,운영 전 개인정보 정책과 함께 결정. MVP test DB는 수동 초기화 가능하게 둔다.,운영 전
36,P0,개인정보,개인정보 최소 수집,꼭 필요한 정보만 받는가?,예,학교명/위치/휴대폰 사용시간은 MVP에서 제외하고 이름/가족/일정 최소 정보만 사용한다.,착수 전
37,P3,데이터,데이터 export/import,백업/이전이 필요한가?,아니오,MVP에서는 제외. 운영 데이터가 쌓이면 CSV export부터 검토한다.,후순위
38,P1,온보딩,온보딩 흐름,처음 앱을 열면 무엇부터 물어보는가?,예,부모 시작 기준: 가족 리듬 -> 시험/루틴 -> 오늘 생성. 학생은 초대 후 오늘 화면부터.,구현 전
39,P1,초기화,초기 데이터 생성,빈 화면을 어떻게 피할까?,부분,샘플 오늘 계획 또는 첫 계획 만들기 CTA를 제공한다. 데모 계정은 seed로 고정한다.,구현 전
40,P2,권한요청,권한 요청 타이밍,푸시 권한을 언제 요청할까?,예,앱 첫 진입 때 묻지 말고 알림 필요성을 본 뒤 요청한다.,알림 구현 전
41,P3,비즈니스,유료화/구독 가능성,무료/유료 경계를 미리 둘까?,예,현재 MVP에서는 제외. 가족 수/고급 리포트/AI 추천을 잠재 유료 후보로만 기록한다.,후순위
42,P2,AI,AI 기능 경계,AI가 직접 계획을 바꿀 수 있는가?,예,AI는 추천/설명까지만. 실제 계획 변경은 학생/부모 확정 후 반영한다.,AI 구현 전
43,P2,AI,AI 설명 가능성,추천 이유를 설명할 수 있는가?,부분,추천마다 짧은 이유를 제공하되 학생에게 부담 주는 표현은 금지한다.,AI 구현 전
44,P2,AI,AI 실패 대비,AI 실패 시 fallback은?,아니오,규칙 기반 계획 생성 로직을 기본으로 두고 AI는 보조로 사용한다.,AI 구현 전
45,P1,문구,문구 관리 방식,화면 문구를 어떻게 관리할까?,부분,"반복 문구와 상태 문구는 copy 파일로 분리하고, 임시 문구는 화면 근처에 둔다.",구현 중
46,P0,국제화,국제화 가능성,한국어만 할까?,예,MVP는 한국어만. 날짜/시간 포맷 함수는 분리해 나중 확장 여지를 둔다.,착수 전
47,P1,접근성,접근성,색만으로 상태를 구분하지 않는가?,아니오,"버튼 aria-label, 충분한 터치 영역, 텍스트 대비를 기본 기준으로 둔다.",구현 중
48,P1,터치,터치 UX,손가락으로 누르기 쉬운가?,아니오,"주요 버튼은 최소 44px 이상, 위험/완료 액션은 충분한 간격을 둔다.",구현 중
49,P1,로딩,로딩 UX,계산/저장 중 무엇을 보여주는가?,부분,긴 로딩은 skeleton보다 짧은 코치 문구와 상태 유지 화면을 우선한다.,구현 중
50,P1,저장,낙관적 업데이트,버튼 누르면 즉시 반영할까?,부분,시작/완료는 즉시 반영하고 실패 시 되돌림 안내를 제공한다.,구현 전
51,P3,오프라인,오프라인 처리,인터넷 없이 볼 수 있는가?,예,MVP에서는 필수 아님. 오늘 계획 read cache는 PWA 단계에서 검토한다.,후순위
52,P1,테스트데이터,테스트 데이터 관리,시안용/mock/DB 데이터가 섞이지 않는가?,아니오,시안 검증용 fixture와 도메인 로직용 fixture를 분리한다.,구현 중
53,P1,테스트데이터,seed 데이터,같은 화면을 재현할 수 있는가?,아니오,데모용 가족/학생/계획 seed를 만든다. Vercel preview 검증에도 사용한다.,구현 중
54,P2,환경,환경변수 관리,환경별 키가 분리되는가?,아니오,local/preview/prod env를 분리하고 Supabase service key는 클라이언트 노출 금지.,Supabase 전
55,P2,DB,마이그레이션 전략,schema 변경을 어떻게 적용할까?,아니오,Supabase migration SQL 파일을 기록하고 직접 DB 수정은 사용자가 실행한다.,DB 구현 전
56,P2,API,API 응답 계약,프론트가 기대하는 데이터 형태가 고정되어 있는가?,아니오,types/study.ts를 계약의 중심으로 두고 nullable/에러 상태를 명시한다.,API 구현 전
57,P1,코드구조,폴더 구조 기준,components/domain/services/data/types 경계가 명확한가?,아니오,"계산은 domain, 데이터 조립은 services, 화면은 components로 유지한다.",구현 중
58,P1,컴포넌트,공통 컴포넌트 남용 방지,너무 일찍 공통화하지 않는가?,아니오,"2~3회 반복 전까지 화면 전용으로 두고, 반복 후 공통화한다.",구현 중
59,P1,기술부채,임시 구현 표시,mock/crop/hardcoded가 표시되는가?,아니오,20/90 문서와 asset plan에 임시 여부를 남긴다.,항상
60,P1,기술선택,기술 선택 기준,직접 구현 vs 라이브러리 기준은?,부분,"날짜/캘린더/폼 검증은 필요 시 검증된 라이브러리, 핵심 도메인 로직은 직접 구현한다.",구현 전
61,P1,폼,폼 검증 규칙,입력 오류를 언제 막을까?,부분,저장 전 필수값/과거 날짜/과도한 공부량을 검증하고 친절한 복구 문구를 제공한다.,폼 구현 전
62,P1,입력UX,입력 보조 UX,모바일에서 입력이 편한가?,부분,날짜/시간/요일/과목 선택은 바텀시트 또는 앱 내 선택 UI를 우선한다.,폼 구현 전
63,P2,삭제,삭제 대신 보관 정책,삭제를 진짜 삭제로 할까?,예,학생/부모 실수 방지를 위해 운영 전에는 soft delete 또는 archive를 우선한다.,운영 전
64,P0,부모,부모 개입 기준,언제 부모에게 보여줄까?,예,"일상적 실패는 학생 회복 중심, 반복 미완료/큰 조정 필요시에만 부모 개입을 보여준다.",착수 전
65,P0,학생,학생 자율성 기준,학생이 얼마나 바꿀 수 있나?,예,"쉬기/완료/줄이기 요청은 허용, 큰 계획 변경은 부모 승인 또는 안내 흐름으로 둔다.",착수 전
66,P1,문구,감정 톤 안전장치,실패 문구가 부담스럽지 않은가?,아니오,처벌/감시/비난 금지. 회복/줄이기/옮기기 중심의 문구 기준을 유지한다.,항상
67,P1,데모,데모 시나리오,외부에 보여줄 대표 흐름은?,부분,오늘 -> 공부 중 -> 끝냈어요 -> 부모 안심 -> 계획 조정의 짧은 데모를 만든다.,배포 전
68,P1,릴리즈,릴리즈 체크리스트,배포 전 무엇을 확인할까?,아니오,"lint/build, 390px 캡처, 주요 경로 클릭, Vercel 배포 확인, 문서 업데이트를 체크한다.",배포 전
69,P1,문서,문서 업데이트 규칙,어느 문서에 무엇을 남길까?,아니오,"07은 체크리스트, 20은 문제/교훈, 90은 압축 기억, 긴 설명은 별도 문서.",항상
70,P1,의사결정,의사결정 기록,왜 그렇게 했는지 남는가?,아니오,Supabase/Vercel/crop asset/보류 항목의 이유를 ADR처럼 짧게 남긴다.,항상
